"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HEXT","EQ","24-Sep-2026","500.00","500.00","503.40","490.05","498.50","499.35","496.36","1,29,020","6,40,40,213.20","9,944","51,580","39.98"
"HEXT","EQ","23-Sep-2026","504.20","504.80","509.30","498.25","498.25","500.00","502.61","1,24,075","6,23,61,642.70","6,638","55,300","44.57"
"HEXT","EQ","22-Sep-2026","515.25","513.10","515.60","503.00","504.80","504.20","510.31","2,74,878","14,02,73,403.40","7,091","2,06,922","75.28"
"HEXT","EQ","21-Sep-2026","524.55","520.85","524.50","512.10","515.00","515.25","515.49","1,51,434","7,80,63,242.70","9,772","83,096","54.87"
"HEXT","EQ","18-Sep-2026","526.45","525.25","527.20","516.45","521.00","524.55","523.87","1,91,368","10,02,52,049.30","11,116","1,16,064","60.65"
"HEXT","EQ","17-Sep-2026","522.75","522.00","528.00","515.10","526.90","526.45","523.80","1,07,306","5,62,06,508.15","7,905","46,385","43.23"
"HEXT","EQ","16-Sep-2026","517.50","517.00","524.85","510.00","523.90","522.75","519.56","1,62,429","8,43,90,923.05","12,674","62,367","38.40"
"HEXT","EQ","15-Sep-2026","497.05","497.75","527.20","497.75","518.00","517.50","518.98","4,41,056","22,88,98,799.95","26,504","1,09,365","24.80"
"HEXT","EQ","11-Sep-2026","502.95","501.30","502.95","496.00","497.00","497.05","498.47","87,553","4,36,42,666.45","7,070","37,097","49.34"
"HEXT","EQ","10-Sep-2026","509.90","512.90","516.40","501.00","504.00","502.95","505.68","1,74,991","8,84,89,468.65","11,297","73,219","41.84"
"HEXT","EQ","09-Sep-2026","518.85","517.75","518.45","506.55","511.00","509.90","513.11","1,38,830","7,12,35,113.50","6,686","55,846","40.23"
"HEXT","EQ","08-Sep-2026","522.85","523.80","524.45","508.75","519.80","518.85","514.61","2,53,225","13,03,12,681.00","13,393","91,814","36.26"
"HEXT","EQ","07-Sep-2026","528.60","528.60","528.60","518.05","523.50","522.85","522.58","1,26,595","6,61,55,953.35","8,181","55,756","44.04"
"HEXT","EQ","04-Sep-2026","529.10","531.70","541.00","524.00","531.00","528.60","530.15","1,92,374","10,19,86,205.45","9,496","77,386","40.23"
"HEXT","EQ","03-Sep-2026","543.60","538.00","538.00","519.20","532.00","529.10","528.55","29,16,864","1,54,16,97,304.25","52,455","18,52,152","63.50"
"HEXT","EQ","02-Sep-2026","551.10","552.80","552.80","539.60","546.00","543.60","545.10","3,11,273","16,96,75,900.10","23,758","1,46,304","47.00"
"HEXT","EQ","01-Sep-2026","554.75","555.50","555.50","543.80","550.00","551.10","550.27","1,32,636","7,29,86,167.80","9,223","63,626","47.97"
"HEXT","EQ","31-Aug-2026","555.70","554.00","559.40","540.00","555.00","554.75","547.63","2,00,168","10,96,18,254.55","14,688","93,236","46.58"
"HEXT","EQ","28-Aug-2026","556.60","565.50","565.85","552.20","553.20","555.70","560.24","1,88,517","10,56,15,174.90","14,813","71,351","37.85"
"HEXT","EQ","27-Aug-2026","554.95","556.30","561.00","547.55","556.00","556.60","553.00","1,33,088","7,35,97,092.05","9,489","61,111","45.92"
"HEXT","EQ","26-Aug-2026","556.90","554.10","561.20","552.50","555.60","554.95","555.04","81,663","4,53,26,208.50","5,199","33,628","41.18"
"HEXT","EQ","25-Aug-2026","562.50","559.40","561.50","548.85","555.10","556.90","554.68","2,22,581","12,34,61,621.30","11,229","41,661","18.72"
"HEXT","EQ","24-Aug-2026","532.45","535.85","574.85","535.85","558.75","562.50","560.90","27,04,830","1,51,71,29,055.25","68,798","1,52,619","5.64"
"HEXT","EQ","21-Aug-2026","544.20","545.00","549.85","530.20","532.50","532.45","538.69","2,37,745","12,80,70,890.95","10,949","95,234","40.06"
"HEXT","EQ","20-Aug-2026","553.30","553.05","560.95","541.20","545.00","544.20","551.76","1,17,060","6,45,89,044.30","7,373","48,019","41.02"
"HEXT","EQ","19-Aug-2026","552.75","556.65","578.00","547.20","548.65","553.30","560.21","2,80,030","15,68,76,992.75","13,918","85,022","30.36"
"HEXT","EQ","18-Aug-2026","561.00","562.00","568.75","550.20","551.40","552.75","555.48","84,816","4,71,13,823.55","5,592","41,985","49.50"
"HEXT","EQ","17-Aug-2026","569.85","569.85","569.85","560.00","560.00","561.00","562.77","55,462","3,12,12,208.70","4,184","26,208","47.25"
"HEXT","EQ","14-Aug-2026","574.55","575.05","576.10","565.55","569.10","569.85","569.12","1,09,375","6,22,47,250.95","5,987","43,543","39.81"
"HEXT","EQ","13-Aug-2026","566.95","575.70","584.50","565.00","574.90","574.55","575.63","3,00,895","17,32,05,521.90","19,727","1,05,413","35.03"
"HEXT","EQ","12-Aug-2026","565.15","565.05","579.40","552.50","578.90","566.95","562.15","2,09,205","11,76,05,572.95","9,315","1,10,753","52.94"
"HEXT","EQ","11-Aug-2026","570.30","572.90","577.00","562.95","567.00","565.15","569.13","1,02,328","5,82,38,262.10","5,760","41,681","40.73"
"HEXT","EQ","10-Aug-2026","564.60","565.45","571.90","557.55","571.30","570.30","568.18","2,98,937","16,98,48,593.95","10,636","1,76,982","59.20"
"HEXT","EQ","07-Aug-2026","556.00","557.90","566.55","552.50","565.25","564.60","561.21","3,19,559","17,93,40,978.35","13,474","1,41,106","44.16"
"HEXT","EQ","06-Aug-2026","570.60","574.90","574.95","554.50","554.50","556.00","560.26","4,16,438","23,33,11,944.30","17,718","2,17,526","52.23"
"HEXT","EQ","05-Aug-2026","554.95","565.00","577.00","548.80","569.10","570.60","559.24","4,54,746","25,43,13,438.20","14,426","2,04,058","44.87"
"HEXT","EQ","04-Aug-2026","559.85","561.00","568.10","552.15","555.00","554.95","559.98","3,21,435","17,99,98,615.65","9,529","1,56,965","48.83"
"HEXT","EQ","03-Aug-2026","561.65","567.40","569.85","549.10","555.65","559.85","556.12","6,76,648","37,63,00,092.20","23,743","2,97,145","43.91"
"HEXT","EQ","31-Jul-2026","575.55","565.20","580.90","559.80","560.00","561.65","569.57","7,65,370","43,59,33,360.85","29,784","3,04,255","39.75"
"HEXT","EQ","30-Jul-2026","618.30","598.10","598.10","565.60","576.20","575.55","576.49","22,28,602","1,28,47,76,399.20","65,414","6,84,752","30.73"
