"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"KOTAKBANK","EQ","24-Sep-2026","413.25","407.00","410.00","404.30","405.00","405.00","406.63","1,27,99,846","5,20,47,93,173.90","1,53,559","83,46,079","65.20"
"KOTAKBANK","EQ","23-Sep-2026","412.65","414.65","417.25","411.35","413.25","413.25","414.06","86,28,172","3,57,25,84,969.90","83,373","56,20,215","65.14"
"KOTAKBANK","EQ","22-Sep-2026","414.80","416.50","417.80","412.55","412.65","412.65","414.63","37,95,161","1,57,36,01,014.90","61,637","20,42,061","53.81"
"KOTAKBANK","EQ","21-Sep-2026","412.50","415.20","420.60","414.55","414.80","414.80","417.72","84,70,861","3,53,84,56,322.20","1,08,147","53,49,362","63.15"
"KOTAKBANK","EQ","18-Sep-2026","416.50","415.50","419.20","412.50","412.50","412.50","416.07","1,54,61,137","6,43,28,87,442.05","1,12,998","1,28,06,526","82.83"
"KOTAKBANK","EQ","17-Sep-2026","415.00","415.00","417.60","412.50","416.50","416.50","415.00","1,14,75,105","4,76,22,06,596.75","2,01,735","77,27,871","67.34"
"KOTAKBANK","EQ","16-Sep-2026","409.80","413.60","417.05","409.35","415.00","415.00","415.02","1,08,98,426","4,52,30,79,846.90","87,698","78,39,973","71.94"
"KOTAKBANK","EQ","15-Sep-2026","419.00","420.50","420.50","409.80","409.80","409.80","413.35","1,43,67,343","5,93,87,76,539.20","1,81,030","1,00,01,175","69.61"
"KOTAKBANK","EQ","11-Sep-2026","416.55","412.60","420.00","409.25","419.00","419.00","415.61","1,51,97,483","6,31,62,40,078.55","1,44,629","92,03,380","68.41"
"KOTAKBANK","EQ","10-Sep-2026","414.00","413.70","416.55","412.80","416.55","416.55","414.39","77,55,254","3,21,37,06,555.80","81,217","49,98,529","64.45"
"KOTAKBANK","EQ","09-Sep-2026","419.25","418.20","420.65","413.95","414.00","414.00","415.44","1,08,86,349","4,52,26,21,126.15","1,09,701","73,91,047","67.89"
"KOTAKBANK","EQ","08-Sep-2026","422.10","422.30","423.85","419.00","419.25","419.25","421.33","1,24,06,799","5,22,74,13,284.35","1,01,709","87,02,051","70.14"
