"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"DMART","EQ","25-Sep-2026","3,787.50","3,789.80","3,834.20","3,771.60","3,834.20","3,834.20","3,807.85","2,97,635","1,13,33,49,583.20","20,877","1,75,903","59.10"
"DMART","EQ","24-Sep-2026","3,834.80","3,818.00","3,832.10","3,780.10","3,787.50","3,787.50","3,804.67","4,29,727","1,63,49,69,457.30","21,457","2,75,476","64.10"
"DMART","EQ","23-Sep-2026","3,777.00","3,776.80","3,868.10","3,755.10","3,834.80","3,834.80","3,831.70","4,26,919","1,63,58,24,287.70","30,937","2,39,425","56.08"
"DMART","EQ","22-Sep-2026","3,800.40","3,793.30","3,830.50","3,769.30","3,777.00","3,777.00","3,799.13","4,73,697","1,79,96,34,163.40","34,519","3,04,355","64.25"
"DMART","EQ","21-Sep-2026","3,749.90","3,732.00","3,814.60","3,732.00","3,800.40","3,800.40","3,780.63","6,47,006","2,44,60,93,271.40","28,595","3,99,387","61.73"
"DMART","EQ","18-Sep-2026","3,711.20","3,711.10","3,755.80","3,680.00","3,749.90","3,749.90","3,715.61","8,81,497","3,27,53,03,215.80","31,216","6,26,100","71.03"
"DMART","EQ","17-Sep-2026","3,720.00","3,700.10","3,759.00","3,700.10","3,711.20","3,711.20","3,733.00","3,81,790","1,42,52,22,600.10","24,600","2,21,480","58.01"
"DMART","EQ","16-Sep-2026","3,680.00","3,679.00","3,730.00","3,670.00","3,720.00","3,720.00","3,703.88","4,64,459","1,72,03,02,414.40","34,499","3,15,562","67.94"
"DMART","EQ","15-Sep-2026","3,688.00","3,692.90","3,735.90","3,680.00","3,680.00","3,680.00","3,714.41","4,96,744","1,84,51,11,506.70","35,511","3,14,303","63.27"
"DMART","EQ","11-Sep-2026","3,690.00","3,677.80","3,706.20","3,650.00","3,688.00","3,688.00","3,673.83","7,10,188","2,60,91,09,780.30","39,044","4,11,932","64.45"
