"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HINDPETRO","EQ","25-Sep-2026","350.40","352.55","353.80","348.65","351.00","351.00","351.13","49,57,719","1,74,08,18,269.85","37,560","32,39,499","65.34"
"HINDPETRO","EQ","24-Sep-2026","360.00","356.05","358.00","349.30","350.40","350.40","353.07","30,88,358","1,09,04,15,310.60","31,695","17,26,065","55.89"
"HINDPETRO","EQ","23-Sep-2026","360.70","362.50","364.65","358.00","360.00","360.00","361.44","19,68,247","71,14,04,185.05","25,468","8,86,841","45.06"
"HINDPETRO","EQ","22-Sep-2026","357.60","359.20","365.20","354.70","360.70","360.70","360.61","58,30,757","2,10,26,53,827.40","42,113","29,47,469","50.55"
"HINDPETRO","EQ","21-Sep-2026","359.00","356.85","359.85","355.50","357.60","357.60","357.31","16,29,936","58,23,96,454.80","20,073","7,77,535","47.70"
"HINDPETRO","EQ","18-Sep-2026","350.60","352.40","359.00","350.50","359.00","359.00","354.78","65,39,998","2,32,02,77,235.70","35,412","46,18,844","70.62"
"HINDPETRO","EQ","17-Sep-2026","350.05","352.25","353.65","350.35","350.60","350.60","351.78","21,70,850","76,36,65,823.60","22,639","13,91,729","64.11"
"HINDPETRO","EQ","16-Sep-2026","345.30","347.00","352.25","343.05","350.05","350.05","349.06","37,86,470","1,32,17,10,754.20","43,783","22,17,481","58.56"
"HINDPETRO","EQ","15-Sep-2026","352.00","352.65","355.20","344.20","345.30","345.30","349.64","24,94,296","87,21,01,840.20","36,050","11,21,476","44.96"
"HINDPETRO","EQ","11-Sep-2026","352.65","346.50","354.90","340.10","352.00","352.00","346.18","58,35,890","2,02,02,52,229.45","56,529","22,43,107","39.72"
"HINDPETRO","EQ","10-Sep-2026","348.90","347.00","353.85","346.95","352.65","352.65","351.20","29,91,765","1,05,07,02,128.95","32,327","17,14,090","57.29"
"HINDPETRO","EQ","09-Sep-2026","347.00","345.55","350.90","343.55","348.90","348.90","349.06","57,86,455","2,01,98,15,229.40","52,857","34,84,415","60.22"
"HINDPETRO","EQ","08-Sep-2026","356.90","353.40","355.95","346.00","347.00","347.00","350.06","34,33,819","1,20,20,42,054.95","38,017","16,67,838","48.57"
"HINDPETRO","EQ","07-Sep-2026","356.50","355.00","356.90","349.55","356.90","356.90","353.30","38,59,485","1,36,35,75,037.75","41,960","18,61,409","48.23"
"HINDPETRO","EQ","04-Sep-2026","361.35","359.90","360.05","355.55","356.50","356.50","357.39","31,55,139","1,12,76,20,802.00","28,717","20,65,157","65.45"
"HINDPETRO","EQ","03-Sep-2026","359.00","358.00","361.60","357.35","361.35","361.35","359.09","24,29,261","87,23,19,793.40","22,488","13,05,038","53.72"
"HINDPETRO","EQ","02-Sep-2026","363.10","358.30","362.90","355.40","359.00","359.00","358.56","77,05,518","2,76,29,12,468.50","86,435","47,02,480","61.03"
"HINDPETRO","EQ","01-Sep-2026","365.75","361.00","364.55","358.10","363.10","363.10","362.18","17,25,511","62,49,45,593.20","33,178","7,97,000","46.19"
"HINDPETRO","EQ","31-Aug-2026","364.00","362.00","365.75","355.40","365.75","365.75","359.47","77,28,957","2,77,82,90,656.25","58,984","49,15,650","63.60"
"HINDPETRO","EQ","28-Aug-2026","371.00","370.00","370.90","363.85","364.00","364.00","366.10","31,50,636","1,15,34,57,356.80","35,545","14,71,612","46.71"
"HINDPETRO","EQ","27-Aug-2026","375.50","375.45","376.25","368.90","371.00","371.00","371.31","38,72,498","1,43,78,88,584.80","46,621","23,97,974","61.92"
"HINDPETRO","EQ","26-Aug-2026","373.20","376.05","381.70","373.40","375.50","375.50","377.21","30,71,299","1,15,85,24,449.90","24,410","10,98,680","35.77"
"HINDPETRO","EQ","25-Aug-2026","371.95","372.50","374.15","369.50","373.20","373.20","372.01","57,03,835","2,12,18,76,492.05","49,557","34,02,243","59.65"
"HINDPETRO","EQ","24-Aug-2026","363.25","365.00","372.60","364.30","371.95","371.95","370.23","44,91,188","1,66,27,56,375.55","39,013","21,62,295","48.15"
