"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SBIN","EQ","25-Sep-2026","978.50","980.80","985.70","977.00","983.00","983.00","980.93","37,59,097","3,68,74,04,890.80","1,00,755","16,79,428","44.68"
"SBIN","EQ","24-Sep-2026","994.10","982.30","992.00","975.80","978.50","978.50","981.33","1,37,24,672","13,46,84,90,332.60","1,23,600","99,38,065","72.41"
"SBIN","EQ","23-Sep-2026","987.00","987.00","996.40","986.40","994.10","994.10","992.19","45,22,248","4,48,69,27,140.60","90,482","26,43,995","58.47"
"SBIN","EQ","22-Sep-2026","996.00","999.10","1,000.10","981.30","987.00","987.00","987.78","61,26,235","6,05,13,43,288.70","1,25,775","30,52,014","49.82"
"SBIN","EQ","21-Sep-2026","996.20","993.60","997.50","989.10","996.00","996.00","993.83","35,90,054","3,56,78,88,810.20","89,282","19,02,575","53.00"
"SBIN","EQ","18-Sep-2026","988.70","992.00","996.20","985.10","996.20","996.20","991.90","56,99,456","5,65,32,67,297.20","94,490","36,42,518","63.91"
"SBIN","EQ","17-Sep-2026","991.40","991.20","1,000.90","985.20","988.70","988.70","990.13","86,24,398","8,53,92,35,534.70","1,78,451","45,82,801","53.14"
"SBIN","EQ","16-Sep-2026","968.00","976.00","991.40","973.20","991.40","991.40","984.90","86,09,956","8,47,99,80,859.20","1,75,734","45,78,029","53.17"
"SBIN","EQ","15-Sep-2026","995.70","994.00","999.80","968.00","968.00","968.00","979.36","1,00,04,115","9,79,76,02,880.20","2,06,073","60,15,570","60.13"
"SBIN","EQ","11-Sep-2026","1,009.70","1,000.00","1,001.90","993.00","995.70","995.70","996.57","77,71,109","7,74,44,70,376.40","1,68,958","39,03,299","53.86"
"SBIN","EQ","10-Sep-2026","1,000.50","1,002.00","1,011.90","1,001.00","1,009.70","1,009.70","1,006.66","55,04,031","5,54,06,63,392.50","84,121","22,51,291","40.90"
"SBIN","EQ","09-Sep-2026","1,008.00","999.00","1,012.20","992.40","1,000.50","1,000.50","1,004.94","70,91,386","7,12,63,96,235.00","1,68,692","37,66,503","53.11"
"SBIN","EQ","08-Sep-2026","1,005.90","1,004.90","1,011.20","1,002.10","1,008.00","1,008.00","1,007.67","70,84,768","7,13,90,94,537.30","1,48,960","43,07,989","60.81"
"SBIN","EQ","07-Sep-2026","1,016.10","1,020.80","1,021.70","1,000.60","1,005.90","1,005.90","1,006.17","1,02,20,001","10,28,30,99,267.50","2,61,914","66,40,215","64.97"
"SBIN","EQ","04-Sep-2026","1,023.40","1,026.00","1,029.20","1,016.10","1,016.10","1,016.10","1,021.57","67,24,566","6,86,96,12,159.90","1,46,219","41,78,795","62.14"
"SBIN","EQ","03-Sep-2026","1,020.90","1,028.90","1,036.00","1,021.10","1,023.40","1,023.40","1,028.73","73,71,804","7,58,35,91,860.80","1,74,387","35,54,490","48.22"
"SBIN","EQ","02-Sep-2026","1,034.50","1,026.00","1,035.30","1,017.30","1,020.90","1,020.90","1,022.54","1,38,43,678","14,15,56,74,464.20","3,16,338","1,02,89,485","74.33"
"SBIN","EQ","01-Sep-2026","1,060.00","1,051.30","1,051.30","1,027.10","1,034.50","1,034.50","1,036.99","76,05,132","7,88,64,82,037.80","1,37,427","33,84,666","44.51"
"SBIN","EQ","31-Aug-2026","1,047.50","1,041.20","1,060.00","1,034.50","1,060.00","1,060.00","1,046.67","51,38,732","5,37,85,57,512.50","82,284","34,32,496","66.80"
"SBIN","EQ","28-Aug-2026","1,042.90","1,046.00","1,051.20","1,040.50","1,047.50","1,047.50","1,046.79","49,69,272","5,20,17,68,412.60","90,209","27,05,841","54.45"
"SBIN","EQ","27-Aug-2026","1,052.00","1,052.00","1,054.40","1,042.90","1,042.90","1,042.90","1,046.66","47,88,716","5,01,21,77,442.20","1,37,557","26,93,387","56.24"
"SBIN","EQ","26-Aug-2026","1,048.00","1,051.40","1,062.30","1,051.20","1,052.00","1,052.00","1,056.72","58,58,099","6,19,03,41,093.40","1,46,788","32,84,133","56.06"
