"Date ","No. of securities traded ","No. of trades ","Traded Value ( Rs. Crore) "
"25-Sep-2026",654,9774,11106.93
"24-Sep-2026",742,10205,16311.59
"23-Sep-2026",626,12019,10068
"22-Sep-2026",731,9740,13070.34
"21-Sep-2026",646,22648,13383.09
"18-Sep-2026",630,9940,16813.22
"17-Sep-2026",657,12446,13332.43
"16-Sep-2026",609,14829,9809.95
"15-Sep-2026",711,30593,6741.33
"11-Sep-2026",586,12973,9268.06
"10-Sep-2026",669,9724,16141.14
"09-Sep-2026",593,10980,13337.2
"08-Sep-2026",704,9873,14691.41
"07-Sep-2026",647,27649,17636.22
"04-Sep-2026",585,12775,17793.56
"03-Sep-2026",699,14240,16030.82
"02-Sep-2026",642,20105,20610.92
"01-Sep-2026",681,21546,13470.89
"31-Aug-2026",591,24168,11013.47
"28-Aug-2026",597,10579,8523.46
"27-Aug-2026",652,17378,15391.14
"25-Aug-2026",631,9792,8422.05
"24-Aug-2026",581,20837,8963.67
"21-Aug-2026",533,9606,8121.42
"20-Aug-2026",619,10410,14657.23
"19-Aug-2026",568,11029,11329.88
"18-Aug-2026",641,10712,12067.97
"17-Aug-2026",577,24531,10475.18
"14-Aug-2026",554,12778,7789.09
"13-Aug-2026",636,8806,9762.21
"12-Aug-2026",572,9419,12220.11
"11-Aug-2026",640,11197,10243.91
"10-Aug-2026",558,22979,9336.96
"07-Aug-2026",524,11304,7916.65
"06-Aug-2026",600,10993,12389.43
"05-Aug-2026",563,12798,12640.89
"04-Aug-2026",673,12367,13383.63
"03-Aug-2026",570,40205,12473.92
"31-Jul-2026",513,9058,7993.78
"30-Jul-2026",565,8451,10311.39
"29-Jul-2026",562,8473,5527.51
"28-Jul-2026",603,8388,7393.2
"27-Jul-2026",574,18410,7282.91
"24-Jul-2026",532,7925,6865.38
"23-Jul-2026",571,7985,8061.18
"22-Jul-2026",554,8083,8813.03
"21-Jul-2026",631,7694,9661.48
"20-Jul-2026",574,20499,7209.11
"17-Jul-2026",536,11072,7079.65
"16-Jul-2026",611,10800,8151.61
"15-Jul-2026",553,10464,8112.42
"14-Jul-2026",613,7883,8892.32
"13-Jul-2026",592,20646,8851.07
"10-Jul-2026",540,8998,8352.2
"09-Jul-2026",583,8932,9225.23
"08-Jul-2026",552,8779,12673.05
"07-Jul-2026",617,11010,9784.62
"06-Jul-2026",544,23822,11388.19
"03-Jul-2026",537,12577,13672.56
"02-Jul-2026",601,16140,15572.95
